gene	source
SRCAP	ASD_ID_DDD_Coe
NSD1	ASD_ID_DDD_Coe
PPM1D	ASD_ID_DDD_Coe
WDR45	ASD_ID_DDD_Coe
KANSL1	ASD_ID_DDD_Coe
SMC1A	ASD_ID_DDD_Coe
KDM5B	ASD_ID_DDD_Coe
SUV420H1	ASD_ID_DDD_Coe
KMT2C	ASD_ID_DDD_Coe
USP9X	ASD_ID_DDD_Coe
WDFY3	ASD_ID_DDD_Coe
ANK2	ASD_ID_DDD_Coe
BCL11A	ASD_ID_DDD_Coe
TRIP12	ASD_ID_DDD_Coe
KIAA2022	ASD_ID_DDD_Coe
CHAMP1	ASD_ID_DDD_Coe
DSCAM	ASD_ID_DDD_Coe
HIVEP3	ASD_ID_DDD_Coe
CHD7	ASD_ID_DDD_Coe
SETD2	ASD_ID_DDD_Coe
CUL3	ASD_ID_DDD_Coe
MBD5	ASD_ID_DDD_Coe
SET	ASD_ID_DDD_Coe
UPF3B	ASD_ID_DDD_Coe
SOX5	ASD_ID_DDD_Coe
CNKSR2	ASD_ID_DDD_Coe
SPEN	ASD_ID_DDD_Coe
NAA15	ASD_ID_DDD_Coe
KDM6A	ASD_ID_DDD_Coe
CASZ1	ASD_ID_DDD_Coe
CNOT3	ASD_ID_DDD_Coe
SRRM2	ASD_ID_DDD_Coe
SETBP1	ASD_ID_DDD_Coe
WHSC1	ASD_ID_DDD_Coe
QRICH1	ASD_ID_DDD_Coe
PHIP	ASD_ID_DDD_Coe
SON	ASD_ID_DDD_Coe
BRPF1	ASD_ID_DDD_Coe
AUTS2	ASD_ID_DDD_Coe
ASXL1	ASD_ID_DDD_Coe
CLTC	ASD_ID_DDD_Coe
MSL3	ASD_ID_DDD_Coe
DLG4	ASD_ID_DDD_Coe
ZBTB18	ASD_ID_DDD_Coe
PHF3	ASD_ID_DDD_Coe
KDM6B	ASD_ID_DDD_Coe
SPAST	ASD_ID_DDD_Coe
CDC42BPB	ASD_ID_DDD_Coe
TBR1	ASD_ID_DDD_Coe
TNRC6B	ASD_ID_DDD_Coe
RAI1	ASD_ID_DDD_Coe
STARD9	ASD_ID_DDD_Coe
PHF12	ASD_ID_DDD_Coe
ZNF292	ASD_ID_DDD_Coe
KIF11	ASD_ID_DDD_Coe
LARP4B	ASD_ID_DDD_Coe
TCF12	ASD_ID_DDD_Coe
SIN3A	ASD_ID_DDD_Coe
EBF3	ASD_ID_DDD_Coe
PRR12	ASD_ID_DDD_Coe
ARID2	ASD_ID_DDD_Coe
YTHDF3	ASD_ID_DDD_Coe
CDKL5	ASD_ID_DDD_Coe
PDHA1	ASD_ID_DDD_Coe
ZC4H2	ASD_ID_DDD_Coe
SYNCRIP	ASD_ID_DDD_Coe
FOXP2	ASD_ID_DDD_Coe
HIVEP2	ASD_ID_DDD_Coe
TAB2	ASD_ID_DDD_Coe
SRSF11	ASD_ID_DDD_Coe
NFE2L3	ASD_ID_DDD_Coe
KCNS3	ASD_ID_DDD_Coe
IRF2BPL	ASD_ID_DDD_Coe
HNRNPD	ASD_ID_DDD_Coe
PHF21A	ASD_ID_DDD_Coe
LEO1	ASD_ID_DDD_Coe
CAPRIN1	ASD_ID_DDD_Coe
DVL3	ASD_ID_DDD_Coe
ANP32A	ASD_ID_DDD_Coe
ENO3	ASD_ID_DDD_Coe
SPRY2	ASD_ID_DDD_Coe
SKIDA1	ASD_ID_DDD_Coe
FAM200B	ASD_ID_DDD_Coe
FAM200A	ASD_ID_DDD_Coe
MEIS2	ASD_ID_DDD_Coe
VEZF1	ASD_ID_DDD_Coe
WDR87	ASD_ID_DDD_Coe
NONO	ASD_ID_DDD_Coe
TRA2B	ASD_ID_DDD_Coe
POU3F3	ASD_ID_DDD_Coe
RPL26	ASD_ID_DDD_Coe
HIST1H1E	ASD_ID_DDD_Coe
ZBTB7A	ASD_ID_DDD_Coe
FOSL2	ASD_ID_DDD_Coe
ODC1	ASD_ID_DDD_Coe
PTCHD1	ASD_ID_DDD_Coe
DYRK1A	ASD_ID_DDD_Coe
POGZ	ASD_ID_DDD_Coe
CHD2	ASD_ID_DDD_Coe
FOXP1	ASD_ID_DDD_Coe
HNRNPU	ASD_ID_DDD_Coe
PURA	ASD_ID_DDD_Coe
MYT1L	ASD_ID_DDD_Coe
PTEN	ASD_ID_DDD_Coe
FBXO11	ASD_ID_DDD_Coe
MEF2C	ASD_ID_DDD_Coe
NFIX	ASD_ID_DDD_Coe
TLK2	ASD_ID_DDD_Coe
FOXG1	ASD_ID_DDD_Coe
CREBBP	ASD_ID_DDD_Coe
WDR26	ASD_ID_DDD_Coe
DDX3X	ASD_ID_DDD_Coe
SCN2A	ASD_ID_DDD_Coe
MED13L	ASD_ID_DDD_Coe
MECP2	ASD_ID_DDD_Coe
TCF4	ASD_ID_DDD_Coe
SATB2	ASD_ID_DDD_Coe
STXBP1	ASD_ID_DDD_Coe
SLC6A1	ASD_ID_DDD_Coe
TBL1XR1	ASD_ID_DDD_Coe
CASK	ASD_ID_DDD_Coe
PUF60	ASD_ID_DDD_Coe
IQSEC2	ASD_ID_DDD_Coe
HDAC8	ASD_ID_DDD_Coe
PPP2R5D	ASD_ID_DDD_Coe
TCF7L2	ASD_ID_DDD_Coe
TNPO3	ASD_ID_DDD_Coe
TRRAP	ASD_ID_DDD_Coe
MYO1E	ASD_ID_DDD_Coe
PBX1	ASD_ID_DDD_Coe
GABRB3	ASD_ID_DDD_Coe
UNC80	ASD_ID_DDD_Coe
CBL	ASD_ID_DDD_Coe
TRAF7	ASD_ID_DDD_Coe
SMC3	ASD_ID_DDD_Coe
SETD1B	ASD_ID_DDD_Coe
CHD4	ASD_ID_DDD_Coe
SMARCD1	ASD_ID_DDD_Coe
AGAP2	ASD_ID_DDD_Coe
CLASP1	ASD_ID_DDD_Coe
WDFY4	ASD_ID_DDD_Coe
ACHE	ASD_ID_DDD_Coe
RRP8	ASD_ID_DDD_Coe
SF3B1	ASD_ID_DDD_Coe
KCNJ6	ASD_ID_DDD_Coe
RYR2	ASD_ID_DDD_Coe
PRKCA	ASD_ID_DDD_Coe
KCNC1	ASD_ID_DDD_Coe
MAPK3	ASD_ID_DDD_Coe
MTF2	ASD_ID_DDD_Coe
C2orf42	ASD_ID_DDD_Coe
GLRA2	ASD_ID_DDD_Coe
ABI2	ASD_ID_DDD_Coe
